match id,team1,team1_id,team1_roster_ids,team2,team2_id,team2_roster_ids,winner,winner_id,toss winner,toss decision,venue,city,match_dt,lighting,series_name,season,ground_id,team_count_50runs_last15,team_winp_last5,team1only_avg_runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,Career_Wickets_Team1,Career_Wickets_Team2,Career_economy_Team1,Career_economy_Team2,Career_dots_Team1,Career_dots_Team2,Career_Fours_Team1,Career_Fours_Team2,Career_Six_Team1,Career_Six_Team2,Career_Wide_Team1,Career_Wide_Team2,Career_avg_Team1,Career_avg_Team2,Career_Wickets_Team1_1st,Career_Wickets_Team2_1st,Career_Wickets_Team1_2nd,Career_Wickets_Team2_2nd,Career_economy_Team1_1st,Career_economy_Team2_1st,Career_economy_Team1_2nd,Career_economy_Team2_2nd,Career_Wickets_Team1_recent,Career_Wickets_Team2_recent,Career_Eco_Team1_recent,Career_Eco_Team2_recent,Career_Eco_Team1_recent_1st,Career_Eco_Team2_recent_1st,Career_Eco_Team1_recent_2nd,Career_Eco_Team2_recent_2nd,Career_Wickets_Team1_recent_1st,Career_Wickets_Team2_recent_1st,Career_Wickets_Team1_recent_2nd,Career_Wickets_Team2_recent_2nd
9331181,Ba,11283,9373356.0:7857520.0:4232164.0:4566540.0:3299407.0:232000.0:7883504.0:8725723.0:7878989.0:2526390.0:8725730.0:4017523.0,Hl Ph,12634,3500958.0:4231751.0:2735081.0:2035102.0:3698337.0:5058192.0:6844718.0:4566526.0:6596582.0:4161975.0:7952804.0:8465057.0,Hl Ph,12634,Hl Ph,field,Hr Ct Sm Ie,Indore,2022-10-20,day/night match,Sd Mq Ai Ty,2022/23,7398,1.6666666666666667,0.6721311475409836,139.0,100.0,157.17857142857142,14.6,19.0,7.396739296187684,7.790214285714286,7.081153470185728,9.476190476190476,1.6456011730205276,3.269047619047619,0.8253176930596287,0.5404761904761904,0.40111436950146623,0.8666666666666667,0.8787781036168134,1.3023809523809524,6.6,1.5,8.0,17.5,6.930728571428571,7.563333333333334,7.8371547619047615,7.891666666666667,1.6,2.0,7.438,7.75,5.5,8.73,9.461,7.75,0.8,0.0,0.8,2.0
8797060,Ed,20,2089079.0:6139370.0:2076192.0:62432.0:2083409.0:172199.0:2022957.0:1482998.0:1711492.0:4507208.0:3231437.0,Wt Is,41,4690258.0:4069666.0:4230127.0:1942317.0:1613926.0:2740408.0:4739552.0:5744850.0:4690104.0:3715697.0:3468870.0,Ed,20,Wt Is,field,Kn Ol Bn Bs,Bridgetown,2022-01-23,day/night match,Ed tr of Wt Is,2021/22,1406,1.2857142857142858,1.9523809523809523,156.0,50.0,103.5,30.2,23.8,8.19746631823461,8.583211788211788,7.894134727061555,9.048717948717949,2.3601974448315914,2.3187002652519895,0.9785830429732869,1.1235695339143617,0.5627468060394889,1.4306193806193808,1.1179907084785135,1.2624542124542124,16.4,14.4,14.4,9.4,7.642260978835978,8.541438095238096,8.615150793650795,8.713328205128205,4.6,3.6,7.833485714285715,7.5954999999999995,7.39795,7.25,7.911666666666667,10.85442424242424,6.4,3.2,2.4,6.0
9433269,We,10576,3298427.0:2288789.0:7773338.0:3519011.0:3681957.0:7671313.0:5320118.0:2922611.0:7184232.0:7661996.0:6240632.0,Ne,8987,4003390.0:1749075.0:1626526.0:4172447.0:5516720.0:7328110.0:125915.0:130437.0:7507303.0:4420828.0:5652828.0,We,10576,Ne,field,Tt Be Nm,Nottingham,2023-06-02,day/night match,Vy Bt,2023,251,0.8571428571428571,0.6721311475409836,173.26666666666668,0.0,154.33333333333334,25.4,41.0,9.26915844721727,9.236468817204301,6.453368418074301,6.295086568252232,2.5081897405426816,2.0637780207763803,1.1545836516424752,0.9038326954620011,0.6494850465438701,0.5095680699835976,1.0780550604080017,1.068633132859486,11.0,23.4,14.4,17.6,8.884686813186812,8.606778446115289,8.88522619047619,9.459637931034482,4.4,3.6,8.597857142857142,9.716333333333333,10.396333333333335,9.293000000000001,8.623999999999999,10.5282,2.2,2.8,3.2,4.0
9587073,Ga An Ws,36084,8127230.0:4690328.0:4069666.0:7960847.0:4690188.0:4739580.0:4739552.0:5744850.0:2294823.0:9266102.0:284339.0,Bs Rs,36070,3462080.0:2436405.0:1798705.0:7550857.0:5742470.0:2740408.0:3575774.0:3200756.0:334963.0:6399210.0:6347494.0,Ga An Ws,36084,Ga An Ws,bat,Bn La Sm Ta Td,Tarouba,2023-09-10,day match,Cn Pr Le,2023,14300,2.1666666666666665,1.975609756097561,164.26666666666668,50.0,144.25,51.4,70.4,9.066056900310093,9.062195915284448,7.94512818151116,7.659857833670435,2.1714571244358476,2.2818048085588862,1.309411746645789,1.3033377344076569,1.1811292253845447,1.1617051184110008,1.2059009548371251,1.228884827995797,24.6,40.0,27.0,30.4,9.494731585988381,8.967268289300325,8.998657734120673,9.26083872805612,5.8,9.6,8.370583333333332,11.718682539682542,9.116666666666667,12.000166666666667,8.479800000000001,10.761666666666667,2.8,7.8,3.6,3.2
9516457,Pb Ks,30407,8127181.0:197658.0:4239038.0:2398346.0:5053082.0:4640824.0:5038046.0:8180500.0:2035102.0:3851518.0:7881845.0:7453697.0,Gt Ts,48341,1958683.0:7491224.0:8059029.0:4377610.0:2252452.0:2966879.0:5554254.0:4690230.0:3373285.0:3759846.0:6496482.0,Gt Ts,48341,Gt Ts,field,Pb Ct An IS Ba Sm Mi Ch,Chandigarh,2023-04-13,night match,In Pr Le,2023,7118,0.8181818181818182,1.3278688524590163,164.66666666666666,0.0,189.0,53.4,61.6,8.088548938948366,8.15580973997253,8.486903979933437,9.186600452471591,2.3450430640557647,2.411069855156779,1.0102461659959163,1.0769392290322526,0.761342840467143,0.5923112960169765,1.290428482876836,1.0568735549825905,20.2,27.2,33.8,34.4,8.245973148148149,7.831147619047618,8.04297972027972,8.601867278582933,7.6,8.8,9.79444191919192,8.491499999999998,9.409833333333333,9.19775,9.494,8.537,3.0,4.2,5.2,7.8
9457412,Ka Ts,42573,393371.0:1594347.0:9470873.0:7960847.0:4403426.0:2614779.0:305143.0:4403503.0:4731628.0:2436356.0:2436776.0,Cm Cs,40424,7864009.0:4502392.0:6551978.0:2820957.0:2804122.0:3125506.0:8072056.0:7084972.0:2875354.0:6149268.0:393182.0,Cm Cs,40424,Cm Cs,field,Se Ba Nl Sm Mr,Dhaka,2023-01-09,night match,Bh Pr Le,2022/23,14188,1.0,1.0,158.44444444444446,50.0,147.93333333333334,31.2,7.8,7.827439077589078,9.777228571428571,9.119445554445553,5.811428571428571,2.238936063936064,1.8400000000000003,0.9679853479853481,0.7509523809523809,0.7271728271728272,0.31285714285714283,1.2322793872793874,1.331904761904762,16.4,2.8,14.8,5.0,8.780051464874994,8.599666666666668,7.01751111111111,10.488133333333334,5.2,6.4,6.875944444444444,10.148657142857143,9.230333333333332,9.358,6.604866666666666,10.338133333333333,3.6,2.0,2.0,4.4
9292548,Aa,27,7537004.0:37351.0:1870357.0:2275195.0:4635658.0:6249256.0:1611364.0:5788320.0:3429236.0:2656541.0:2018001.0,Ia,55,2954769.0:238727.0:1776627.0:3125562.0:4377610.0:210328.0:3882850.0:2733380.0:2282125.0:4377694.0:3011735.0,Ia,55,Ia,field,Rv Gi Il Sm Ul Hd,Hyderabad,2022-09-25,night match,Aa tr of Ia,2022,13880,0.7,1.4878048780487805,141.4,50.0,,39.6,50.8,9.548593023255815,11.759991634910307,7.882056303549571,8.80563365316705,2.3522521419828637,2.159142617898678,1.5417013463892288,1.2883602329481179,0.6864187486500108,0.7581882089059876,1.2411627906976745,1.1711859063830743,24.4,25.0,15.2,25.8,9.474033333333333,7.890913333333333,8.914222820478304,11.696313131313131,3.4,6.6,12.501,15.599,11.466,10.272,12.1725,14.048166666666665,2.6,2.8,1.2,5.0
9271758,Ja Ks,47501,6818622.0:5490596.0:6551978.0:4403545.0:298612.0:1634611.0:3162487.0:8067002.0:7968225.0:8072056.0:4403573.0,Ge Gs,47494,6517118.0:4403531.0:4932864.0:2214792.0:7520344.0:3364234.0:1594319.0:305143.0:2270519.0:3008179.0:6686658.0,Ja Ks,47501,Ja Ks,bat,R Pa Sm Co,Colombo,2022-12-18,day match,La Pr Le,2022/23,7041,0.9090909090909092,1.4878048780487805,156.15384615384616,40.0,129.93333333333334,23.6,29.6,8.571910179294388,9.414296153846154,8.871891266628108,8.386043956043958,2.097782918835551,2.359989010989011,0.8948621553884711,1.0392747252747252,0.43146327356853675,0.8662380952380954,1.3993445151339887,1.2365457875457875,11.0,13.4,13.0,17.0,7.863333333333332,8.691769047619047,9.130799145299147,9.479747953216375,5.6,8.2,7.6126000000000005,8.473099999999999,8.17988888888889,7.95,7.269333333333333,8.685976190476191,5.6,3.2,3.6,5.4
9331048,Hl Ph,12634,3500958.0:4231751.0:2735081.0:3698337.0:5058192.0:2035102.0:6844718.0:8228296.0:4566526.0:6596582.0:8465057.0:4161975.0,Sa,14860,9098571.0:227793.0:5977026.0:8442244.0:1663885.0:4192558.0:6698110.0:9009265.0:3691547.0:2733401.0:4141556.0:6785582.0,Hl Ph,12634,Sa,field,Hr Ct Sm Ie,Indore,2022-10-18,day/night match,Sd Mq Ai Ty,2022/23,7398,0.2727272727272727,0.5061728395061729,138.5,0.0,157.69230769230768,17.0,18.5,7.78934065934066,9.008891304347827,9.181318681318682,5.789130434782608,3.1373626373626373,2.497826086956522,0.5054945054945055,1.0304347826086957,0.9313186813186813,0.6260869565217391,1.2527472527472527,0.9739130434782608,1.5,5.5,15.5,13.0,7.563333333333334,8.846666666666668,7.904545454545454,9.041758241758242,3.5,1.5,9.4275,9.04,8.73,9.04,9.493333333333332,10.1875,0.0,1.5,3.5,1.5
9123162,Id,216,2124002.0:2123974.0:7695666.0:6729862.0:6496412.0:2436251.0:3685100.0:2921680.0:2550414.0:6496482.0:8609684.0,Ia,55,3479860.0:5043310.0:3125562.0:4377610.0:210328.0:7422673.0:3882850.0:2282125.0:4859490.0:3011735.0:8725709.0,Ia,55,Ia,field,Te Ve Me Dn,Dublin,2022-06-26,day match,Ia tr of Id,2022,6831,0.3478260869565217,0.5061728395061729,154.26666666666668,0.0,148.5,17.0,42.6,8.653791666666667,8.13602834918032,9.00355477855478,9.428386597856605,2.1158896658896658,2.490395253932348,0.8081390831390831,1.0471501338564824,0.5436091686091686,0.7840153270290274,1.4568376068376068,1.2373362734104587,10.4,22.4,7.0,20.8,8.374102564102564,8.974815628815628,9.926800000000002,7.614214285714286,5.8,14.8,10.645916666666668,8.950686713286714,11.294833333333333,9.146209523809524,10.961333333333332,8.964571428571428,3.4,8.2,2.8,8.4
